Date,Version
2015-05-07,3.8.10
2015-04-08,3.8.9
2015-02-25,3.8.8.3
2015-01-30,3.8.8.2
2015-01-20,3.8.8.1
2015-01-16,3.8.8
2014-12-09,3.8.7.4
2014-12-05,3.8.7.3
2014-11-18,3.8.7.2
2014-10-29,3.8.7.1
2014-10-22,3.8.6.1
2014-10-17,3.8.7
2014-08-15,3.8.6
2014-06-04,3.8.5
2014-04-03,3.8.4.3
2014-03-26,3.8.4.2
2014-03-11,3.8.4.1
2014-03-10,3.8.4
2014-02-11,3.8.3.1
2014-02-03,3.8.3
2013-12-06,3.8.2
2013-10-17,3.8.1
2013-09-03,3.8.0.2
2013-08-29,3.8.0.1
2013-08-26,3.8.0
2013-05-20,3.7.17
2013-04-12,3.7.16.2
2013-03-29,3.7.16.1
2013-03-18,3.7.16
2013-01-09,3.7.15.2
2012-12-19,3.7.15.1
2012-12-12,3.7.15
2012-10-04,3.7.14.1
2012-09-03,3.7.14
2012-06-11,3.7.13
2012-05-22,3.7.12.1
2012-05-14,3.7.12
2012-05-14,3.7.12
2012-05-14,3.7.12
2012-03-20,3.7.11
2012-01-16,3.7.10
2011-11-01,3.7.9
2011-09-19,3.7.8
2011-06-28,3.7.7.1
2011-06-23,3.7.7
2011-05-19,3.7.6.3
2011-04-17,3.7.6.2
2011-04-13,3.7.6.1
2011-04-12,3.7.6
2011-02-01,3.7.5
2010-12-07,3.7.4
2010-10-08,3.7.3
2010-08-24,3.7.2
2010-08-23,3.7.1
2010-08-04,3.7.0.1
2010-07-21,3.7.0
2010-03-26,3.6.23.1
2010-03-09,3.6.23
2010-01-06,3.6.22
2009-12-07,3.6.21
2009-11-04,3.6.20
2009-10-30,3.6.16.1
2009-10-14,3.6.19
2009-09-11,3.6.18
2009-08-10,3.6.17
2009-06-27,3.6.16
2009-06-15,3.6.15
2009-05-25,3.6.14.2
2009-05-19,3.6.14.1
2009-05-07,3.6.14
2009-04-13,3.6.13
2009-03-31,3.6.12
2009-02-18,3.6.11
2009-01-15,3.6.10
2009-01-14,3.6.9
2009-01-12,3.6.8
2008-12-16,3.6.7
2008-11-26,3.6.6.2
2008-11-22,3.6.6.1
2008-11-19,3.6.6
2008-11-12,3.6.5
2008-10-15,3.6.4
2008-09-22,3.6.3
2008-08-30,3.6.2
2008-08-06,3.6.1
2008-07-16,3.6.0
2008-05-14,3.5.9
2008-04-16,3.5.8
2008-03-17,3.5.7
2008-02-06,3.5.6
2008-01-31,3.5.5
2007-12-14,3.5.4
2007-11-27,3.5.3
2007-11-05,3.5.2
2007-10-04,3.5.1
2007-09-04,3.5.0
2007-08-13,3.4.2
2007-07-20,3.4.1
2007-06-18,3.4.0
2007-04-25,3.3.17
2007-04-18,3.3.16
2007-04-09,3.3.15
2007-04-02,3.3.14
2007-02-13,3.3.13
2007-01-27,3.3.12
2007-01-22,3.3.11
2007-01-10,3.3.10
2007-01-04,3.3.9
2006-10-09,3.3.8
2006-08-12,3.3.7
2006-06-06,3.3.6
2006-04-05,3.3.5
2006-02-11,3.3.4
2006-01-31,3.3.3
2006-01-24,3.3.2
2006-01-16,3.3.1
2006-01-11,3.3.0
2005-12-19,2.8.17
2005-12-19,3.2.8
2005-09-24,3.2.7
2005-09-17,3.2.6
2005-08-27,3.2.5
2005-08-24,3.2.4
2005-08-21,3.2.3
2005-06-12,3.2.2
2005-03-29,3.2.1
2005-03-21,3.2.0
2005-03-17,3.1.6
2005-03-11,3.1.5
2005-03-11,3.1.4
2005-02-28,3.1.3.1
2005-02-20,3.1.3
2005-02-15,3.1.2
2005-02-15,2.8.16
2005-02-01,3.1.1
2005-01-21,3.1.0
2004-10-12,3.0.8
2004-09-18,3.0.7
2004-09-02,3.0.6
2004-08-29,3.0.5
2004-08-09,3.0.4
2004-07-22,3.0.3
2004-07-22,2.8.15
2004-06-30,3.0.2
2004-06-22,3.0.1
2004-06-18,3.0.0
2004-06-09,2.8.14
2004-03-08,2.8.13
2004-02-08,2.8.12
2004-01-14,2.8.11
2004-01-14,2.8.10
2004-01-06,2.8.9
2003-12-18,2.8.8
2003-12-04,2.8.7
2003-08-22,2.8.6
2003-07-22,2.8.5
2003-06-29,2.8.4
2003-06-04,2.8.3
2003-05-17,2.8.2
2003-05-17,2.8.1
2003-02-16,2.8.0
2003-01-25,2.7.6
2002-12-28,2.7.5
2002-12-17,2.7.4
2002-10-31,2.7.3
2002-09-25,2.7.2
2002-08-31,2.7.1
2002-08-25,2.7.0
2002-08-13,2.6.3
2002-07-31,2.6.2
2002-07-19,2.6.1
2002-07-18,2.6.0
2002-07-07,2.5.6
2002-07-06,2.5.5
2002-07-01,2.5.4
2002-06-25,2.5.3
2002-06-25,2.5.2
2002-06-19,2.5.1
2002-06-17,2.5.0
2002-05-10,2.4.12
2002-05-08,2.4.11
2002-05-03,2.4.10
2002-04-22,2.4.9
2002-04-20,2.4.8
2002-04-12,2.4.7
2002-04-02,2.4.6
2002-04-02,2.4.5
2002-03-30,2.4.4
2002-03-23,2.4.3
2002-03-20,2.4.2
2002-03-13,2.4.1
2002-03-13,2.4.1
2002-03-11,2.4.0
2002-02-19,2.3.3
2002-02-14,2.3.2
2002-02-13,2.3.1
2002-02-03,2.3.0
2002-01-28,2.2.5
2002-01-22,2.2.4
2002-01-16,2.2.3
2002-01-14,2.2.2
2002-01-09,2.2.1
2001-12-22,2.2.0
2001-12-15,2.1.7
2001-12-14,2.1.6
2001-12-06,2.1.5
2001-12-05,2.1.4
2001-11-24,2.1.3
2001-11-23,2.1.2
2001-11-13,2.1.1
2001-11-12,2.1.0
2001-11-04,2.0.8
2001-10-22,2.0.7
2001-10-19,2.0.6
2001-10-15,2.0.5
2001-10-13,2.0.4
2001-10-13,2.0.3
2001-10-09,2.0.2
2001-10-02,2.0.1
2001-09-28,2.0.0
2001-07-23,1.0.32
2001-04-15,1.0.31
2001-04-06,1.0.30
2001-04-05,1.0.29
2001-04-04,1.0.28
2001-03-20,1.0.27
2001-03-20,1.0.26
2001-03-15,1.0.25
2001-03-14,1.0.24
2001-02-20,1.0.23
2001-02-19,1.0.22
2001-02-19,1.0.21
2001-02-11,1.0.20
2001-02-06,1.0.19
2001-01-04,1.0.18
2000-12-10,1.0.17
2000-11-28,1.0.16
2000-10-23,1.0.15
2000-10-19,1.0.14
2000-10-19,1.0.13
2000-10-17,1.0.12
2000-10-11,1.0.10
2000-10-09,1.0.9
2000-09-30,1.0.8
2000-09-14,1.0.5
2000-08-28,1.0.4
2000-08-22,1.0.3
2000-08-18,1.0.1
2000-08-17,1.0
